epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/t_sep_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/s_sep_loss,train/r_aux_loss,train/u_aux_loss,train/mask_reg_loss,train/recon_task_loss,train/rs_comp_loss,train/r_obb_loss,train/s_repel_loss,train/path_b_loss,train/r_sar_loss,train/dkd_loss,train/proto_cls_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/r_aux_fg_mean,train/r_aux_bg_mean,train/u_aux_fg_mean,train/u_aux_bg_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/t_sep_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/s_sep_loss,val/r_aux_loss,val/u_aux_loss,val/mask_reg_loss,val/recon_task_loss,val/rs_comp_loss,val/r_obb_loss,val/s_repel_loss,val/path_b_loss,val/r_sar_loss,val/dkd_loss,val/proto_cls_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/r_aux_fg_mean,val/r_aux_bg_mean,val/u_aux_fg_mean,val/u_aux_bg_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,121.721,2.97504,3.14941,1.78215,0,0.02829,0.01468,0.00405,0.15356,1.15442,4725.12,0.03262,0.0188,0.00941,8e-05,0,0,0,0,0,0,0,0,0,0.00405,2.39478,2.39073,0.68708,0.20291,41.7538,38.2762,0.49117,0.06362,0.48659,0.49061,0.51449,0.14591,0.0919,0.02776,2.88629,2.22791,1.50303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02776,0.003,0.001,0.003,0.001,0.003,0.001,0.003,0.001
2,253.328,2.80684,2.31146,1.55485,0,0.0266,0.01044,0.00415,0.15372,1.05258,3942.12,0.02623,0.02445,5e-05,5e-05,0,0,0,0,0,0,0,0,0,0.00415,2.39434,2.39019,0.91172,0.16953,41.8986,38.5238,0.49301,0.06415,0.48496,0.49313,0.48876,0.16266,0.10561,0.03259,2.71815,2.042,1.43863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03259,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996,0.00299999,0.000999996
3,379.13,2.72744,2.16663,1.50684,0,0.02542,0.00926,0.00346,0.15347,1.0051,3297.52,0.02388,0.02219,0,0.00013,0,0,0,0,0,0,0,0,0,0.00346,2.39716,2.3937,0.90042,0.17281,41.6984,38.448,0.49362,0.06439,0.48279,0.49376,0.51241,0.18033,0.1077,0.03149,2.72203,2.0215,1.43546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03149,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985,0.00299995,0.000999985
4,508.007,2.71813,2.13068,1.4851,0,0.02444,0.00746,0.00341,0.15347,0.98998,2676.56,0.02216,0.02034,7e-05,0.00011,0,0,0,0,0,0,0,0,0,0.00341,2.40059,2.39717,0.89378,0.17732,41.3042,38.2103,0.49414,0.06422,0.48455,0.49396,0.56205,0.20246,0.1472,0.04853,2.70664,2.05308,1.41883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04853,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966,0.0029999,0.000999966
5,637.42,2.705,2.07516,1.48852,0,0.02386,0.00819,0.0032,0.15344,0.96041,1987.27,0.02044,0.01923,2e-05,0.00015,0,0,0,0,0,0,0,0,0,0.0032,2.40272,2.39951,0.96834,0.18512,40.8911,37.9706,0.49402,0.06414,0.48535,0.49358,0.58115,0.2115,0.15615,0.05252,2.62865,1.93282,1.36421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05252,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939,0.00299982,0.000999939
6,762.619,2.70706,2.06426,1.49698,0,0.0237,0.01026,0.00323,0.15344,0.93163,1730.97,0.01962,0.01786,0.00074,0.00188,0,0,0,0,0,0,0,0,0,0.00323,2.4256,2.42237,0.91604,0.19093,36.544,33.6429,0.49368,0.06457,0.47784,0.48559,0.56981,0.20534,0.15985,0.05346,2.69418,1.93605,1.39005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05346,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905,0.00299971,0.000999905
7,891.743,2.73032,2.07636,1.48702,0,0.02329,0.01017,0.00306,0.15342,nan,1827.59,0.01964,0.01692,0.0021,0.00259,0,0,0,0,0,0,0,0,0,0.00306,2.42282,2.41976,0.86134,0.19542,36.0307,33.1098,0.49384,0.06395,0.47801,0.48486,0.35629,0.19405,0.17433,0.06111,2.65402,1.95683,1.38361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06111,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863,0.00299959,0.000999863
8,1015.72,2.74411,2.05307,1.47894,0,0.02323,0.00805,0.00312,0.15342,nan,1758.21,0.02077,0.01403,0.00271,0.00148,0,0,0,0,0,0,0,0,0,0.00312,2.47174,2.46863,0.72627,0.20189,26.7904,23.6033,0.49398,0.0642,0.45751,0.46804,0.46302,0.21455,0.14985,0.04746,2.72105,2.07622,1.40431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04746,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813,0.00299944,0.000999813
9,1137.38,2.71807,2.04657,1.44948,0,0.02324,0.00756,0.00297,0.1534,nan,1633.2,0.02126,0.01341,0.00282,0.00183,0,0,0,0,0,0,0,0,0,0.00297,2.4703,2.46733,0.74454,0.20757,26.7545,23.5711,0.49416,0.06409,0.45836,0.46822,0.28162,0.22041,0.15067,0.04986,2.70319,1.98128,1.39189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04986,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756,0.00299927,0.000999756
10,1266.95,2.71317,2.04767,1.46152,0,0.02339,0.00996,0.00281,0.15338,0.93387,1497.47,0.02165,0.01625,0.00171,0.00138,0,0,0,0,0,0,0,0,0,0.00281,2.44041,2.4376,0.79003,0.21435,32.4932,29.5388,0.49378,0.06504,0.47045,0.47882,0.29923,0.21364,0.1532,0.05211,2.70687,1.96712,1.37253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05211,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691,0.00299907,0.000999691
