epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,188.978,2.8515,3.50221,1.61041,0,0.01259,1.54067,0.61789,1.49389,0.48628,0,1.54067,2.26949,0.72882,0.48266,0.05589,0.48236,0.4822,0.51026,0.13695,0.09571,0.0332,3.14422,2.72092,1.49806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,374.88,2.81451,2.41685,1.46123,0,0.01251,0.43209,0.2369,0.91129,0.6877,0,0.43209,2.62027,2.18818,0.48294,0.05669,0.498,0.48253,0.50316,0.15002,0.09178,0.02985,2.90806,3.32243,1.50549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02985,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,593.921,2.94319,2.41164,1.53431,0,0.01159,0.1414,0.17661,0.92238,0.35269,0,0.1414,2.59704,2.45564,0.47664,0.05737,0.50245,0.4763,0.21299,0.08585,0.06583,0.02106,3.58179,8.48508,1.83644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02106,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,781.424,2.95219,2.39586,1.56118,0,0.01102,0.07654,0.1656,0.90227,0.27539,0,0.07654,2.53307,2.45654,0.47462,0.05908,0.50698,0.47336,0.21788,0.17933,0.1262,0.04204,2.94198,3.09812,1.55484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04204,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,971.895,2.81795,2.22445,1.51753,0,0.01031,0.04094,0.15907,0.86929,0.16968,0,0.04094,2.52481,2.48386,0.47826,0.06279,0.50987,0.47788,0.27361,0.21898,0.16638,0.0612,2.85034,2.2635,1.5037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1167.55,2.75261,2.10096,1.47885,0,0.00961,0.03082,0.15749,0.83567,0.10626,0,0.03082,2.52487,2.49405,0.47915,0.06274,0.50711,0.47878,0.6501,0.2002,0.19575,0.0751,2.8444,1.9434,1.47531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1355.46,2.69722,2.03111,1.45392,0,0.00907,0.02772,0.15703,0.8255,0.12802,0,0.02772,2.51829,2.49057,0.47902,0.06515,0.50478,0.47887,0.28701,0.28522,0.18098,0.06585,2.68486,2.12609,1.43819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06585,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1543.03,2.63938,1.97614,1.42656,0,0.00866,0.02485,0.15659,0.80897,0.1322,0,0.02485,2.505,2.48016,0.48128,0.06777,0.50901,0.48107,0.35499,0.25209,0.226,0.08897,2.61105,1.84297,1.38317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08897,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1731.39,2.61513,1.92578,1.41568,0,0.00829,0.02304,0.15632,0.79141,0.15756,0,0.02304,2.48622,2.46318,0.47948,0.06679,0.51382,0.47924,0.37745,0.20777,0.21263,0.08795,2.71377,2.03355,1.44225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08795,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1919.58,2.58227,1.88954,1.39568,0,0.008,0.0223,0.15622,0.78739,0.17552,0,0.0223,2.47467,2.45237,0.47759,0.06632,0.50896,0.47719,0.40674,0.27785,0.25765,0.10324,2.57954,1.75895,1.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10324,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
