epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/t_rec_loss,train/reach_match_loss,train/reach_rank_loss,train/task_loss,train/kd_loss,train/s_rec_loss,train/d_pos_mean,train/d_neg_mean,train/rank_gap_mean,train/mask_mean,train/mask_std,train/mask_fg_mean,train/mask_bg_mean,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/t_rec_loss,val/reach_match_loss,val/reach_rank_loss,val/task_loss,val/kd_loss,val/s_rec_loss,val/d_pos_mean,val/d_neg_mean,val/rank_gap_mean,val/mask_mean,val/mask_std,val/mask_fg_mean,val/mask_bg_mean,phase_stop_fitness,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,202.697,2.83345,3.46069,1.58225,0,0.0122,0.01052,0.15449,1.48503,0.49299,0.00138,0.01052,2.67265,2.66213,0.48235,0.05572,0.48221,0.48231,0.54191,0.17107,0.11163,0.04197,2.88105,2.74845,1.33283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04197,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,404.766,2.77447,2.40783,1.39722,0,0.01178,0.00761,0.15409,0.90143,0.69079,0.00195,0.00761,2.68032,2.67271,0.48067,0.05638,0.49259,0.48051,0.43452,0.13674,0.05133,0.01551,2.97495,2.93695,1.4955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01551,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215,0.0199564,0.00665215
3,627.892,2.90076,2.38865,1.48597,0,0.01112,0.00874,0.15423,0.90306,0.46669,0.00177,0.00874,2.6841,2.67536,0.47951,0.05766,0.49868,0.47905,0.38796,0.12126,0.0244,0.00689,3.11319,17.2035,1.74369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00689,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535,0.0299561,0.00998535
4,842.611,2.95149,2.39688,1.54458,0,0.01066,0.01209,0.15473,0.90353,0.46218,0.00136,0.01209,2.69638,2.68429,0.47871,0.0614,0.50609,0.47807,0.45492,0.14454,0.07601,0.02236,2.92032,2.55251,1.52888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02236,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966,0.029999,0.00999966
5,1043.07,2.82705,2.26174,1.50242,0,0.00999,0.00977,0.15438,0.88008,0.26149,0.00118,0.00977,2.72272,2.71295,0.48052,0.06436,0.5001,0.47934,0.26152,0.16283,0.12492,0.04256,2.80274,2.47406,1.4277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04256,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
6,1239.93,2.74964,2.13739,1.45878,0,0.00934,0.00815,0.15415,0.84807,0.19672,0.00111,0.00815,2.75824,2.75008,0.47953,0.06621,0.49763,0.47868,0.59358,0.2194,0.19755,0.07492,2.70246,1.97282,1.35972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07492,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905,0.0299971,0.00999905
7,1457.11,2.68773,2.03471,1.4208,0,0.00885,0.00761,0.15407,0.83243,0.1354,0.00108,0.00761,2.75666,2.74906,0.47973,0.0686,0.498,0.4777,0.31523,0.22876,0.19735,0.07738,2.72635,4.4189,1.38244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07738,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
8,1638.07,2.63325,1.97758,1.40018,0,0.00849,0.00695,0.15397,0.80915,0.17361,0.00114,0.00695,2.78689,2.77994,0.47886,0.06847,0.50196,0.47857,0.64949,0.20176,0.19293,0.07659,2.68147,2.33645,1.39457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07659,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813,0.0299944,0.00999813
9,1803.67,2.60603,1.94036,1.38583,0,0.00816,0.00643,0.1539,0.79581,0.2001,0.00122,0.00643,2.77788,2.77145,0.47725,0.06986,0.5019,0.47695,0.63318,0.2313,0.22943,0.0888,2.60527,1.8989,1.32582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
10,1974.53,2.58119,1.90078,1.36071,0,0.00791,0.00639,0.15389,0.79279,0.21619,0.00134,0.00639,2.77346,2.76707,0.47597,0.07054,0.50075,0.47556,0.40627,0.28449,0.274,0.11505,2.51547,1.75731,1.27891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11505,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691,0.0299907,0.00999691
