epoch,stage,lr_pg0,lr_pg1,lr_pg2,train_box_loss,train_cls_loss,train_dfl_loss,kd_loss,reach_match_loss,reach_rank_loss,cmdistill_pcc_levels,cmdistill_slrd_tokens,cmdistill_ibcld_candidate_ratio,cmdistill_ibcld_fg_count,cmdistill_ibcld_teacher_conf_added_count,cmdistill_ibcld_cls_loss,cmdistill_ibcld_box_loss,cmdistill_pcc_loss,cmdistill_relation_loss,cmdistill_ibcld_loss,cmdistill_total_loss,bn_running_var_max,bn_running_var_mean,bn_running_var_p95,bn_running_mean_abs_max,bn_num_layers,bn_stats_mode,bn_stats_frozen_this_epoch,nonfinite_metrics_or_cmdistill,nonfinite_bn_stats,nan_or_inf_detected,grad_norm_total,grad_norm_backbone,grad_norm_neck,grad_norm_head,base_alpha_kd,effective_alpha_kd,kd_multiplier,kd_warmup_active,ladd_kd_decay_mode,ladd_kd_decay_start_epoch,ladd_kd_decay_end_epoch,ladd_kd_final_mult,ladd_kd_stop_after_epoch,b_loss_warmup_mode,b_loss_warmup_start_epoch,b_loss_warmup_end_epoch,b_loss_warmup_final_mult,b_loss_warmup_scope,b_loss_warmup_multiplier,b_loss_warmup_active,ladd_b_a2_core,ladd_b_det_only,ladd_a2_det_only,effective_alpha_s_rec,effective_alpha_sep,effective_lambda_residual_aux,effective_lambda_reach,effective_lambda_match_inner,effective_lambda_rank_inner
1,a1,0.0004752955700798837,0.0004752955700798837,0.0004752955700798837,0.0,0.0,0.0,0.0,0.34249,0.24336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
2,a1,0.0008574176419753086,0.0008574176419753086,0.0008574176419753086,0.0,0.0,0.0,0.0,0.01194,0.15477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
3,a1,0.0011452257138707335,0.0011452257138707335,0.0011452257138707335,0.0,0.0,0.0,0.0,0.0118,0.15471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
4,a1,0.001004587,0.001004587,0.001004587,0.0,0.0,0.0,0.0,0.00944,0.15434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
5,a1,0.0008631159999999999,0.0008631159999999999,0.0008631159999999999,0.0,0.0,0.0,0.0,0.01489,0.15515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
6,a1,0.0007216449999999999,0.0007216449999999999,0.0007216449999999999,0.0,0.0,0.0,0.0,0.01643,0.1554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
7,a1,0.000580174,0.000580174,0.000580174,0.0,0.0,0.0,0.0,0.01197,0.15475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
8,a1,0.00043870300000000003,0.00043870300000000003,0.00043870300000000003,0.0,0.0,0.0,0.0,0.0092,0.15437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
9,a1,0.0002972319999999999,0.0002972319999999999,0.0002972319999999999,0.0,0.0,0.0,0.0,0.00603,0.15398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
10,a1,0.00015576099999999995,0.00015576099999999995,0.00015576099999999995,0.0,0.0,0.0,0.0,0.00433,0.1536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0234375,0.023072680458426476,0.05271148681640625,2.171875,106,normal,0,0,0,0,nan,nan,nan,nan,1.0,1.0,1.0,0,none,-1,-1,1.0,-1,none,-1,-1,1.0,core,1.0,0,1,0,0,0.1,0.05,0.25,1.0,1.0,1.0
